colour,country,date,price,size,stars,text,title
Midnight,the United Kingdom 🇬🇧,30/11/2022,949.00,128GB,1.0,"The iPhone 14 Plus is extremely bad value. Apart from a slightly larger screen, there are no standout features that make this superior than last years iPhone 13. Even worse, if you pay a little bit more, you can get the flagship iPhone 14 Pro! My biggest question is who did Apple make this for?!",Apple iPhone 14 Plus
Purple,the United Kingdom 🇬🇧,24/11/2022,949.00,256GB,5.0,Upgraded from an 8 plus. Need I say more. Love it.,Apple iPhone 14 Plus
Purple,the United Kingdom 🇬🇧,05/12/2022,949.00,128GB,5.0,Love it!,Apple iPhone 14 Plus
Midnight,Germany 🇩🇪,15/12/2022,949.00,128GB,5.0,"Bin vom Iphone 12 umgestiegen da ich, ende fünfzig, einfach ein wenig größere Buchstaben brauche (scheiß Altersweitsichtigkeit). Ich bin äußerst zufrieden mit dem Wechsel, whatsapp, Zeitung, Email  etc. sind jetzt (zur not) auch ohne Lesebrille lesbar. Das pro max war mir schlicht zu teuer, dessen sicher super Kamera wäre für meine Bedürfnisse überzogen, die kamera des \"normalen 14/14 plus ist schon super für mich. Ob 60 hz oder 120 hz Anzeige ist mir egal, ich bin kein Gamer. Alles in allem ein tolles, großes Telefon mit dem man für die nächsten jahre bedient sein wird.  Ansonsten ist es natürlich unübertroffen wie Apple alles zu einen Ökosystem zusammengeführt hat, Iphone, Ipad, Iwatch und Apple TV harmonieren perfekt zusammen, ohne das übliche geärgere wie bei Android üblich sobald es um mehr als ein gerät geht.Update nach ein paar Tagen Nutzung im Vergleich zum iPhone pro max meiner Freundin: was sofort auffällt ist dass das Pro deutlich schwerer ist, meiner Freundin ist es egal, deren Handy ist in der Handtasche die eh ungefähr 2 kg Kram enthält, ich habe das Handy in der Jacke, da ist mir das leichte plus deutlich lieber. Der zweite große Unterschied ist der Akku, das Plus schafft bei mir fast zwei Tage, das Pro nur gut einen.Ich bin auch nach dem Vergleich sehr zufrieden mit der Entscheidung für das Plus und gegen das Pro",Apple iPhone 14 Plus
Blue,Germany 🇩🇪,25/11/2022,949.00,128GB,5.0,"Wie immer bei Apple, ein top gerät. Die preispolitik bezüglich des speichers ist zwar fragwürdig mit ca 400€ differenz zwischen 128GB und 1TB. Aber mir persönlich reichen 128GB in dem fall. Es ist kein schnäpchen und die arbeitsumstände sollen ja auch nicht die besten sein, doch das müssen die verantwortlichen in den griff bekommen.Im vergleich zu android läuft beim iphone alles flüssig und das gefällt mir.Wer auf ein paar spielereien wie die kameranotch und die kamera pro funktionen verzichten kann aber trotzdem die größe des pro max möchte macht hier nichts falsch. Wenns vom geld her geht. In schulden sollte sich keiner wegen einem smartphone stürzen nur um mithalten zu können. Auch sollte man vielleicht vorher das smartphone mal in der hand haben und das normale mit dem plus vergleichen. Das normale liegt top in der hand, das plus erfordert schon öfters mal beide hände. Somit könnte man sich eventuell paar hundert euro sparen und das normale mit 6,1 zoll nehmen. Es ist auf jedenfall ein unterschied der sich auch in der hosentasche bemerkbar macht.",Apple iPhone 14 Plus
Starlight,France 🇫🇷,16/12/2022,949.00,128GB,5.0,"J’ai acheter cet iPhone sans conviction restant bloquer sur mon iPhone 7 et sa batterie pas terribleSachez que l’iPhone 14 plus tiens extrêmement longtemps la batterie, de 6h du matin a minuit 30 , il me reste 53% de batterie environ à minuit 30 , en comptant tiktok, Instagram , Facebook et j’en passe.Pour ce qui est du produit , il est excellent , fluide à souhait grand écran bonne luminosité ! Je recommande les yeux fermé",Apple iPhone 14 Plus
Purple,France 🇫🇷,19/12/2022,949.00,128GB,5.0,"Nickel tout est parfait, la livraison est longue et le colis était pas très bien protégé !!!",Apple iPhone 14 Plus
Midnight,France 🇫🇷,07/12/2022,949.00,128GB,5.0,"Parfait, livré en 2 jours ouvrés avec primeConforme à la description, très fiable Amazon.Reçu en point relais, parfaitEnvoi et réception très rapide",Apple iPhone 14 Plus
Purple,France 🇫🇷,26/11/2022,949.00,256GB,5.0,"Ravie de mon achat, on ne s’attend  pas à moins de la part d’Apple !Tellement facile à l’utilisation, à la mise en route avec la synchronisation. Que du bonheur 💜",Apple iPhone 14 Plus
Midnight,France 🇫🇷,29/11/2022,949.00,128GB,5.0,Super produit !Qualité au top!Fonctionnalité parfait!,Apple iPhone 14 Plus
Blue,France 🇫🇷,01/12/2022,949.00,128GB,5.0,J’avais un iPhone XR en parfait état de fonctionnement et franchement il est aussi bien que le 14 plus. J’en viens à me demander pourquoi je l’ai acheté ☹️,Apple iPhone 14 Plus
(PRODUCT)RED,Germany 🇩🇪,19/11/2022,949.00,128GB,5.0,"Habe mich bewusst für das größere iPhone 14 Plus entschieden. Sehr komfortabel, wenn man nicht noch extra ein I-Pad nutzen will. Aber auch nicht zu groß. Kamera ist eine Wucht!",Apple iPhone 14 Plus
Purple,France 🇫🇷,18/11/2022,949.00,128GB,5.0,"Utilisatrice Apple depuis longtemps, j'ai mis longtemps à passer le pas entre mon iphone XR et le nouveau. Franchement pas déçue. Idéal pour ceux qui aiment les gros smartphone.",Apple iPhone 14 Plus
Midnight,France 🇫🇷,02/12/2022,949.00,256GB,5.0,Expédition rapide,Apple iPhone 14 Plus
Midnight,France 🇫🇷,17/11/2022,949.00,128GB,5.0,Apple est Apple  super qualité,Apple iPhone 14 Plus
Midnight,France 🇫🇷,17/11/2022,949.00,128GB,5.0,C'est mon premier utilisation dun iphone. Je trouve très bien. Plein d'astuces.,Apple iPhone 14 Plus
Blue,France 🇫🇷,15/11/2022,949.00,128GB,5.0,Très satisfaite,Apple iPhone 14 Plus
Midnight,Germany 🇩🇪,01/11/2022,949.00,256GB,5.0,"Ich glaube zum Gerät selbst muss man ja nichts schreiben , der Versand war blitzschnell ,Freitag bestellt , Samstag wurde geliefert Top",Apple iPhone 14 Plus
Purple,Germany 🇩🇪,20/10/2022,949.00,128GB,5.0,"Ich bin von meinem I Phone 12 umgestiegen. Die Geschwindigkeit macht sich bemerkbar und auch der Akku ist sehr gut. Allerdings würde ich nicht von einem I Phone 13 umsteigen, da dann der Unterscheid den Aufpreis nicht Wert ist.Trotzdem ein tolles Handy.",Apple iPhone 14 Plus
Midnight,Germany 🇩🇪,02/11/2022,949.00,256GB,5.0,Ich bin sehr zufrieden,Apple iPhone 14 Plus
Purple,France 🇫🇷,04/11/2022,949.00,128GB,5.0,Au top!!,Apple iPhone 14 Plus
Purple,France 🇫🇷,21/10/2022,949.00,128GB,5.0,"Jamais déçu par Apple , il est magnifique !!! Plus de 15 ans chez Apple et toujours ravi !",Apple iPhone 14 Plus
Blue,France 🇫🇷,26/10/2022,949.00,128GB,5.0,Iphone au top livraison au top,Apple iPhone 14 Plus
Starlight,France 🇫🇷,12/10/2022,949.00,256GB,5.0,Téléphone parfait. Ça me change poir une fois que j’ai un téléphone neuf et acheté comme ça. C’est un vrai bonheur. Taille parfaite ça me change 😍,Apple iPhone 14 Plus
Blue,Germany 🇩🇪,17/10/2022,949.00,256GB,5.0,gute handy.,Apple iPhone 14 Plus
Purple,France 🇫🇷,26/11/2022,949.00,128GB,3.0,"Le téléphone est très beau, mais envoyé dans un petite carton tout fin. Et pour le prix même pas de chargeur, ni de film de protection pour l’écran alors que lorsque on achète un reconditionné tout est fournit.",Apple iPhone 14 Plus
Starlight,France 🇫🇷,08/10/2022,949.00,128GB,5.0,Téléphone parfait eu le lendemain de sa sortie officiel expédition rapide et sécurisé et téléphone 100% vrai,Apple iPhone 14 Plus
Blue,Germany 🇩🇪,10/12/2022,949.00,256GB,3.0,"Macht, was es soll.Gerade noch so handlich und nicht zu schwer.Hat nun Lightning zu usb cWarum dieser Unsinn mit Lightning immer noch da ist verstehe ich nicht.Durch usb c lädier schnell und kann auch am Tesla (hat nur noch usb c Anschlüsse) geladen werdenFarbe ist Geschmacksache, mir gefällt sienicht, war aber günstiger.Hoffentlich hält das Teil so lange wie früher die Apple Produkte. Der Preis ist aber wahnsinnig hoch.",Apple iPhone 14 Plus
Midnight,France 🇫🇷,13/11/2022,949.00,128GB,3.0,Niveaux photo le pro est meilleur que ca j’avais le 13 pro je suis passé a ce modèle c’est comme si vous passer d’une mercedes à une clio vue le prix autant prendre le modèle pro,Apple iPhone 14 Plus
Blue,France 🇫🇷,09/10/2022,949.00,128GB,5.0,Nickel,Apple iPhone 14 Plus
